Time,Speed(MPH),Location,County,State,LAT,LON,Remarks,,
1410,UNK,LOUISA,LOUISA,VA,38.02,-78,SEVERAL LARGE TREES...POWER POLES...POWER LINES AND BRANCHES DOWN COUNTY WIDE IN LOUISA COUNTY. TREES REPORTED DOWN ON HOMES AND CARS IN MINERAL. (AKQ),,
1518,60,7 S FAULKTON,FAULK,SD,44.93,-99.13,STRONG WIND GUSTS TO 60 MPH WITH HEAVY RAIN (ABR),,
1525,60,3 SE ROCHELLE,LEE,IL,41.89,-89.02,AT I-88 AND I39 (LOT),,
1530,60,ORIENT,FAULK,SD,44.9,-99.09,REPORT FROM ORIENT FIRE CHIEF RELAYED BY FAULK COUNTY SHERRIF OF 60 MPH GUSTS...ALSO NO POWER IN ORIENT (ABR),,
1540,60,MIRANDA,FAULK,SD,44.97,-98.96,60 MPH GUSTS REPORTED NEAR MIRANDA (ABR),,
1545,62,MAPLE PARK,KANE,IL,41.91,-88.59,I-88 AND KESLINGER RD (LOT),,
1554,UNK,GENEVA,KANE,IL,41.88,-88.31,SEVERAL TREES DOWN ON VEHICLES AND POWER LINES (LOT),,
1555,74,FRANKLIN/J_B_ROSE,ISLE OF WIGHT,VA,36.7,-76.9,(AKQ),,
1556,63,FORT EUSTIS,CITY OF NEWPORT NE,VA,37.13,-76.62,(AKQ),,
1630,UNK,GENEVA,KANE,IL,41.88,-88.31,POWER LINES DOWN. ESTIMATED WIND SPEEDS 60 MPH. (LOT),,
1715,66,2 WNW POTTAWATTOMIE PAR,LMZ046,IN,41.74,-86.91,(IWX),,
1715,76,2 WNW POTTAWATTOMIE PAR,LMZ046,IN,41.74,-86.91,(IWX),,
1720,UNK,MICHIGAN CITY,LA PORTE,IN,41.71,-86.9,NEWS MEDIA REPORTS TREES DOWN THROUGHOUT MICHIGAN CITY. TIME ESTIMATED FROM RADAR. (IWX),,
1742,62,4 NW SOUTH BEND,ST. JOSEPH,IN,41.7,-86.31,(IWX),,
1757,UNK,CULVER,MARSHALL,IN,41.22,-86.42,SMALL TO MEDIUM SIZED BRANCHES DOWN. WOODEN GOLF COURSE SIGN BLOWN DOWN. (IWX),,
1801,UNK,MISHAWAKA,ST. JOSEPH,IN,41.66,-86.16,LARGE TREE ON TOP OF A CAR BLOCKING THE STREET (IWX),,
1804,UNK,ELKHART,ELKHART,IN,41.68,-85.98,MULTIPLE REPORTS OF 4 INCH DIAMETER TREE LIMBS DOWN. POWER OUTAGES AT SR15 AND US20. (IWX),,
1805,UNK,NAPPANEE,ELKHART,IN,41.44,-86,LARGE TREE DOWN ACROSS THE ROAD. POWER LINES DOWN. (IWX),,
1806,65,ROCHESTER,FULTON,IN,41.06,-86.22,MANY TREES AND TREE LIMBS DOWN IN THE COUNTY. (IWX),,
1808,UNK,ROCHESTER,FULTON,IN,41.06,-86.22,STATE POLICE REPORTS TREES DOWN AND WIDESPREAD POWER OUTAGES IN ROCHESTER. TIME ESTIMATED FROM RADAR. (IWX),,
1816,61,4 SE GOSHEN,ELKHART,IN,41.53,-85.79,(IWX),,
1819,UNK,WINONA LAKE,KOSCIUSKO,IN,41.23,-85.82,FOR APPROXIMATELY 7 MINUTES WIND BLEW AN ESTIMATED 65 TO 70 MPH....MULTIPLE TREES DOWN AND MULTIPLE TREE LIMBS ARE DOWN. (IWX),,
1820,60,TIPPECANOE,MARSHALL,IN,41.21,-86.11,ESTIMATED 60 MPH WIND GUST WITH MULTIPLE SMALL TREE LIMBS DOWN (IWX),,
1820,UNK,2 SE SYRACUSE,KOSCIUSKO,IN,41.41,-85.73,2FT DIAMETER OAK TREE DOWN ON HOUSE ON N. OGDEN PT ROAD (IWX),,
1820,UNK,4 NNE LEESBURG,KOSCIUSKO,IN,41.29,-85.83,2 LARGE HEALTHY TREES DOWN (IWX),,
1821,UNK,2 W COLUMBIA CITY,WHITLEY,IN,41.16,-85.53,TOP 40 FEET OF 100 FOOT RADIO TOWER BLOWN DOWN. ALSO SEPARATE REPORT OF TOP 2 SECTIONS OF 160 FOOT TOWER DOWN. (IWX),,
1830,60,4 SE PERU,MIAMI,IN,40.71,-86.01,(IWX),,
1831,UNK,2 W COLUMBIA CITY,WHITLEY,IN,41.16,-85.53,TOP 40 FEET OF 100 FOOT RADIO TOWER BLOWN DOWN. ALSO SEPARATE REPORT OF TOP 2 SECTIONS OF 160 FOOT TOWER DOWN. (IWX),,
1832,UNK,DENVER,MIAMI,IN,40.87,-86.08,PARTIALLY CRACKED TREE WAS BLOWN OVER ONTO HOUSE AT 935 N AND WARSAW TRAIL N (IWX),,
1834,UNK,COLUMBIA CITY,WHITLEY,IN,41.16,-85.49,MULTIPLE TREES DOWN THROUGHOUT THE COUNTY. PEA SIZED HAIL. POWER LINES DOWN. 2 HOUSE FIRES AS A RESULT. (IWX),,
