Year,Date,F-Scale EF(Scale),Injuries,Fatalities,Length (miles),Width (yards)
1950,01/03/1950,3,0,0,3.3,100
1950,01/03/1950,3,3,0,3.6,130
1950,01/25/1950,2,0,0,0.1,100
1950,03/27/1950,2,0,0,3,50
1950,06/13/1950,1,0,0,0.1,10
1950,07/16/1950,1,0,0,1,33
1950,12/02/1950,2,3,1,18.8,50
1950,12/02/1950,3,25,2,18,200
1950,12/02/1950,1,0,0,9.6,50
1951,06/27/1951,3,35,0,9.6,300
1951,06/27/1951,3,15,1,18.2,200
1951,11/13/1951,2,0,0,47.4,50
1951,11/13/1951,2,7,0,7.1,250
1951,12/06/1951,3,1,1,21.9,150
1952,03/18/1952,1,1,0,3,10
1952,03/18/1952,2,0,0,4.9,100
1952,05/24/1952,1,0,0,0.1,10
1952,07/17/1952,1,0,0,0.1,10
1953,03/14/1953,2,0,0,42.3,200
1953,04/09/1953,2,3,0,6.5,30
1953,04/09/1953,3,22,3,156.7,750
1953,04/09/1953,3,10,1,37,750
1953,07/05/1953,0,0,0,0.1,10
1954,03/12/1954,1,3,0,38.6,10
1954,04/07/1954,3,13,1,42.6,400
1954,05/27/1954,2,0,0,7.9,200
1954,05/28/1954,1,0,0,0.1,10
1954,05/31/1954,2,2,0,24.2,400
1954,07/21/1954,2,1,0,26.1,200
1954,10/10/1954,1,0,0,1.5,50
1955,03/04/1955,1,0,0,0.5,50
1955,04/18/1955,2,0,0,9,77
1955,04/23/1955,2,0,0,14.8,10
1955,04/23/1955,1,0,0,8,10
1955,04/28/1955,1,3,0,10.4,10
1955,05/26/1955,2,0,0,1.5,500
1955,05/26/1955,2,1,0,1.5,100
1955,05/26/1955,1,2,0,1.5,100
1955,05/26/1955,1,0,0,18.7,400
1955,08/21/1955,1,0,0,2,500
1955,08/29/1955,0,0,0,0.1,10
1955,08/29/1955,0,0,0,0.1,10
1955,08/29/1955,2,2,0,11.5,100
1955,10/06/1955,1,2,0,15,50
1955,10/06/1955,1,0,0,0.1,10
1955,10/06/1955,1,0,0,10.5,10
1955,10/06/1955,2,0,0,1,10
1955,11/15/1955,1,0,0,0.1,10
1955,11/15/1955,1,0,0,4.5,880
1955,11/15/1955,1,0,0,0.1,10
1955,11/15/1955,1,0,0,0.1,10
1955,11/15/1955,0,0,0,0.2,10
1955,11/16/1955,2,0,0,4.5,150
1955,12/03/1955,1,0,0,12.5,100
1955,12/03/1955,2,0,0,32,10
1956,02/25/1956,4,20,6,42.3,500
1956,02/25/1956,2,2,0,23.4,450
1956,03/06/1956,2,0,0,2.3,200
1956,03/06/1956,3,6,0,9.4,500
1956,04/02/1956,1,0,0,2,10
1956,04/03/1956,2,0,0,3.3,10
1956,04/03/1956,2,0,0,2,50
1956,04/03/1956,2,0,0,9.5,40
1956,04/03/1956,1,0,0,4.5,100
1956,04/26/1956,2,0,0,10.9,10
1956,04/27/1956,1,0,0,14.4,500
1956,04/27/1956,1,0,0,14.4,500
1956,04/27/1956,2,0,0,4.9,900
1956,04/28/1956,1,0,2,4.7,10
1956,04/29/1956,1,0,0,2.3,10
1956,04/29/1956,1,0,0,21.9,10
1956,05/16/1956,1,0,0,3.3,80
1956,05/21/1956,2,0,0,2,70
1956,06/17/1956,1,0,0,2,10
1956,06/19/1956,2,0,0,14,10
1956,08/12/1956,1,0,0,12.5,30
1956,08/13/1956,3,0,0,3.8,27
1956,08/18/1956,1,0,0,37.1,10
1956,08/23/1956,1,3,0,0.1,40
1956,08/23/1956,2,0,0,0.1,40
1956,08/23/1956,2,3,0,0.1,40
1956,08/30/1956,2,0,0,0.1,17
1956,09/15/1956,2,0,0,1,400
1957,03/14/1957,2,0,0,2.3,10
1957,03/14/1957,2,0,0,0.1,100
1957,03/14/1957,2,0,0,0.1,10
1957,03/14/1957,1,0,0,6.8,30
1957,03/14/1957,1,0,0,2,33
1957,04/03/1957,2,5,0,6.8,10
1957,04/18/1957,0,0,0,0.1,10
1957,04/25/1957,2,0,0,2,300
1957,04/26/1957,1,0,0,22,30
1957,05/09/1957,1,0,0,2.7,200
1957,05/13/1957,1,0,0,0.1,10
1957,05/21/1957,2,0,0,19.7,150
1957,05/21/1957,2,0,0,3.6,150
1957,05/21/1957,3,0,0,8.5,200
1957,05/21/1957,3,0,0,13.7,120
1957,06/10/1957,2,0,0,42.3,10
1957,06/12/1957,0,0,0,1,10
1957,06/14/1957,2,1,0,18.5,10
1957,06/14/1957,2,5,0,1.9,10
1957,06/14/1957,4,50,2,4.3,220
1957,06/14/1957,1,0,0,1,83
1957,12/18/1957,3,0,0,20.2,10
1957,12/18/1957,3,0,0,17.7,10
1957,12/18/1957,2,1,0,1,10
1957,12/18/1957,1,1,0,0.1,10
1957,12/18/1957,3,1,0,2.5,10
1957,12/18/1957,2,2,0,4.5,10
1957,12/18/1957,4,45,1,16.8,250
1957,12/18/1957,2,0,0,5.4,10
1957,12/18/1957,3,0,0,5.7,10
1957,12/18/1957,2,0,0,11.6,200
1957,12/18/1957,5,6,1,5.4,200
1957,12/18/1957,4,200,11,28.3,300
1957,12/18/1957,3,1,0,19.6,200
1957,12/18/1957,2,5,0,1.5,10
1957,12/18/1957,3,0,0,4.5,10
1957,12/18/1957,3,3,0,2.5,150
1957,12/18/1957,3,4,0,19.8,10
1957,12/18/1957,2,0,0,0.1,10
1957,12/18/1957,1,0,0,3,60
1957,12/19/1957,2,0,0,1,67
1957,12/19/1957,2,0,0,0.5,100
1958,04/05/1958,3,8,1,60.5,100
1958,04/05/1958,0,0,0,4.9,100
1958,04/05/1958,3,11,0,20.6,100
1958,04/05/1958,1,0,0,5.1,80
1958,05/03/1958,1,0,0,75.9,100
1958,05/03/1958,1,0,0,1,10
1958,05/03/1958,2,1,0,4.7,10
1958,05/03/1958,1,1,0,3,150
1958,05/03/1958,2,0,0,7.8,200
1958,05/03/1958,2,0,0,5.9,10
1958,05/31/1958,0,0,0,8.8,10
1958,05/31/1958,1,0,0,0.1,10
1958,06/01/1958,1,0,0,0.1,50
1958,06/01/1958,2,0,0,0.5,100
1958,06/08/1958,1,0,0,1,10
1958,06/08/1958,1,0,0,1,10
1958,06/08/1958,1,0,0,0.1,10
1958,06/13/1958,1,0,0,1,10
1958,06/23/1958,0,0,0,0.1,40
1958,07/10/1958,1,0,0,2,167
1958,07/11/1958,2,1,0,32.9,50
1958,07/11/1958,3,3,0,4.7,30
1958,08/06/1958,2,0,0,2,70
1958,08/15/1958,2,0,0,74.5,100
1958,08/15/1958,1,0,0,13.9,30
1958,08/30/1958,2,0,0,0.1,10
1958,08/30/1958,1,0,0,1,70
1958,10/08/1958,2,0,0,0,0
1958,10/08/1958,2,0,1,81,10
1959,02/10/1959,4,0,0,0.1,200
1959,02/10/1959,1,0,0,29.8,10
1959,02/10/1959,1,0,0,0.1,10
1959,03/14/1959,2,1,0,2.3,120
1959,03/14/1959,1,0,0,7.7,10
1959,03/15/1959,2,2,0,2,10
1959,03/26/1959,1,0,0,0.1,10
1959,03/26/1959,2,0,0,3,200
1959,04/17/1959,1,0,0,2,10
1959,05/09/1959,1,0,0,0.1,10
1959,05/10/1959,1,0,0,3.6,50
1959,05/11/1959,2,0,0,0.1,30
1959,05/26/1959,1,0,0,0.1,10
1959,05/26/1959,1,0,0,0.1,10
1959,06/10/1959,0,0,0,0.1,10
1959,07/10/1959,1,0,0,0.1,10
1959,07/10/1959,1,0,0,1,60
1959,07/30/1959,1,0,0,0.1,10
1959,08/04/1959,2,0,0,26.7,10
1959,08/15/1959,1,0,0,0.1,200
1959,08/26/1959,2,0,0,5.6,50
1959,09/21/1959,1,0,0,2,40
1959,09/26/1959,2,0,0,3.3,40
1959,09/26/1959,1,0,0,18.8,10
1959,09/26/1959,2,0,1,4.9,300
1959,09/26/1959,2,0,0,12.9,10
1959,09/26/1959,2,0,0,1.9,40
1959,09/26/1959,1,0,0,0.1,10
1959,09/26/1959,2,0,0,5.1,10
1959,09/26/1959,1,0,0,3,10
1959,09/26/1959,2,0,0,9.3,10
1959,09/26/1959,1,14,0,12.1,10
1959,09/26/1959,1,0,0,0.3,130
1959,09/26/1959,1,0,0,3,10
1959,09/27/1959,2,1,0,9.4,200
1959,10/08/1959,2,1,0,2,90
1959,10/10/1959,2,0,0,48.7,33
1960,02/09/1960,1,2,0,0.1,10
1960,02/09/1960,2,1,0,24,77
1960,02/09/1960,1,0,0,1,27
1960,03/29/1960,2,0,0,0.1,10
1960,03/29/1960,2,0,0,22.3,130
1960,04/16/1960,1,0,0,2.7,60
1960,04/16/1960,1,0,0,0.1,10
1960,04/17/1960,1,0,0,0.1,10
1960,04/17/1960,2,0,0,21.9,200
1960,04/17/1960,1,4,0,1,60
1960,04/25/1960,1,0,0,0.5,20
1960,04/30/1960,1,0,0,0.2,30
1960,05/06/1960,1,0,0,1,100
1960,05/06/1960,1,0,0,0.3,100
1960,05/06/1960,1,0,0,43.5,50
1960,05/06/1960,2,0,0,20.9,130
1960,05/16/1960,1,0,0,0.1,10
1960,05/16/1960,1,0,0,0.1,10
1960,05/16/1960,1,0,0,0.1,10
1960,05/16/1960,2,0,0,0.1,10
1960,05/20/1960,0,0,0,0.1,30
1960,05/25/1960,1,0,0,0.1,10
1960,05/25/1960,2,0,0,0.1,10
1960,06/01/1960,1,0,0,0.1,10
1960,06/04/1960,0,0,0,0.1,10
1960,06/04/1960,1,0,0,0.1,10
1960,06/04/1960,2,1,0,56.2,20
1960,06/05/1960,2,0,0,9.6,10
1960,06/16/1960,0,0,0,0.1,10
1960,06/16/1960,0,0,0,0.1,10
1960,06/16/1960,1,0,0,0.1,10
1960,06/22/1960,0,0,0,0.1,10
1960,06/22/1960,2,0,0,0.1,10
1960,06/23/1960,1,0,0,22.6,10
1960,06/23/1960,2,1,0,34.9,100
1960,06/23/1960,2,0,0,3.8,800
1960,06/28/1960,1,0,0,0.1,10
1960,06/30/1960,2,17,0,16.9,10
1960,07/02/1960,1,0,0,23.6,150
1960,08/03/1960,1,0,0,0.1,10
1961,03/04/1961,1,1,0,51.5,10
1961,03/04/1961,2,115,1,7.9,100
1961,03/04/1961,0,0,0,6.2,50
1961,03/06/1961,1,1,0,117.9,77
1961,03/06/1961,1,0,0,0,0
1961,03/06/1961,2,0,0,110.2,10
1961,03/06/1961,2,2,0,4.7,100
1961,03/06/1961,3,3,0,21.2,10
1961,03/06/1961,1,0,0,24.6,10
1961,03/06/1961,2,2,0,30.6,10
1961,04/23/1961,3,4,0,51.7,10
1961,04/23/1961,3,4,0,36.3,10
1961,04/24/1961,3,3,0,64.2,10
1961,05/14/1961,3,0,0,0,0
1961,05/14/1961,3,8,0,127.1,100
1961,05/14/1961,0,0,0,22.9,10
1961,05/14/1961,1,0,0,4.9,10
1961,06/07/1961,0,0,0,0.1,10
1961,06/10/1961,0,0,0,0.1,10
1961,06/14/1961,1,0,0,0.1,10
1961,07/21/1961,1,0,0,0,0
1961,07/21/1961,1,0,0,147.4,10
1961,07/21/1961,0,0,0,0.1,10
1961,07/21/1961,0,0,0,2,10
1961,07/21/1961,2,0,0,3.6,10
1961,07/21/1961,1,0,0,0.1,10
1961,07/28/1961,0,0,0,0.1,10
1961,08/01/1961,0,0,0,0.1,10
1961,08/19/1961,0,0,0,0.1,10
1961,09/01/1961,1,4,0,0.1,100
1961,09/22/1961,1,0,0,2,800
1961,09/24/1961,1,0,0,0.3,50
1961,09/24/1961,2,1,0,5,10
1961,09/24/1961,1,0,1,0.1,10
1961,09/30/1961,1,0,0,2.3,10
1961,09/30/1961,1,0,0,1.5,10
1961,09/30/1961,1,0,0,0.1,150
1961,09/30/1961,0,0,0,0.3,10
1962,03/11/1962,1,0,0,0.1,10
1962,04/30/1962,1,0,0,5.2,100
1962,05/07/1962,2,0,0,7.2,10
1962,05/07/1962,2,0,0,7.2,10
1962,05/26/1962,2,0,0,0.1,10
1962,05/28/1962,0,0,0,0.1,10
1962,05/28/1962,2,0,0,0.1,10
1962,05/28/1962,0,0,0,0.1,10
1962,05/28/1962,2,0,0,0.1,10
1962,05/29/1962,1,0,0,0.1,10
1962,06/08/1962,1,0,0,0.2,10
1962,06/23/1962,2,10,0,0.5,100
1962,07/02/1962,2,0,0,6.9,50
1963,03/16/1963,3,0,0,0.3,30
1963,04/17/1963,4,70,1,57.3,130
1963,04/17/1963,4,50,1,25.2,130
1963,04/18/1963,2,0,0,0.1,10
1963,04/19/1963,2,22,0,14.8,250
1963,04/19/1963,2,10,0,6.9,250
1963,04/19/1963,2,0,0,0.1,10
1963,04/22/1963,3,5,1,42.9,10
1963,04/22/1963,3,5,0,31.8,200
1963,04/22/1963,3,40,0,38.6,1600
1963,04/22/1963,3,40,0,38.6,1600
1963,06/10/1963,1,0,0,2,30
1963,06/13/1963,1,0,0,0.3,200
1963,09/02/1963,0,0,0,10.8,10
1964,03/08/1964,1,0,0,3.8,20
1964,03/08/1964,2,0,0,13.1,40
1964,03/25/1964,2,2,0,11.5,50
1964,04/02/1964,1,0,0,0.2,10
1964,04/02/1964,2,0,0,4.5,77
1964,04/02/1964,2,4,0,4.9,20
1964,04/21/1964,3,0,0,14.1,17
1965,02/09/1965,2,0,0,3.3,10
1965,04/11/1965,4,75,6,9.1,400
1965,04/11/1965,2,0,0,4.5,200
1965,04/11/1965,1,0,0,0.3,150
1965,04/11/1965,1,0,0,0.5,250
1965,04/23/1965,2,0,0,0.2,100
1965,04/23/1965,1,1,0,25.4,100
1965,04/23/1965,1,0,0,6.6,100
1965,04/24/1965,3,1,0,6.5,43
1965,04/24/1965,1,0,0,0.3,40
1965,05/26/1965,2,11,0,13.8,70
1965,05/26/1965,2,0,0,1,50
1965,05/26/1965,1,0,0,0.5,10
1965,06/23/1965,1,0,0,0.1,10
1965,08/26/1965,1,0,0,2,70
1965,08/27/1965,0,0,0,0.4,57
1965,09/04/1965,1,0,0,1.5,100
1965,09/14/1965,3,30,0,6.6,200
1965,09/14/1965,2,2,0,11.5,77
1965,09/14/1965,2,2,0,1,50
1965,11/12/1965,2,0,0,32.1,17
1965,11/12/1965,2,90,2,35.9,120
1965,11/12/1965,2,0,0,1,20
