Year,Globally Averaged Temperature in Celsius
1880,13.87
1881,13.92
1882,13.92
1883,13.85
1884,13.78
1885,13.77
1886,13.78
1887,13.74
1888,13.84
1889,13.89
1890,13.67
1891,13.74
1892,13.69
1893,13.67
1894,13.71
1895,13.77
1896,13.91
1897,13.88
1898,13.74
1899,13.88
1900,13.93
1901,13.86
1902,13.75
1903,13.66
1904,13.58
1905,13.71
1906,13.78
1907,13.62
1908,13.56
1909,13.57
1910,13.61
1911,13.57
1912,13.67
1913,13.68
1914,13.86
1915,13.93
1916,13.71
1917,13.69
1918,13.8
1919,13.8
1920,13.79
1921,13.86
1922,13.77
1923,13.79
1924,13.75
1925,13.86
1926,13.94
1927,13.85
1928,13.83
1929,13.71
1930,13.9
1931,13.93
1932,13.88
1933,13.76
1934,13.9
1935,13.86
1936,13.89
1937,13.98
1938,13.97
1939,13.99
1940,14.09
1941,14.2
1942,14.15
1943,14.16
1944,14.29
1945,14.17
1946,13.99
1947,13.95
1948,13.95
1949,13.94
1950,13.84
1951,13.99
1952,14.03
1953,14.1
1954,13.89
1955,13.87
1956,13.8
1957,14.05
1958,14.11
1959,14.06
1960,14.02
1961,14.08
1962,14.09
1963,14.11
1964,13.85
1965,13.92
1966,13.98
1967,13.99
1968,13.97
1969,14.09
1970,14.04
1971,13.92
1972,14.03
1973,14.16
1974,13.93
1975,14
1976,13.92
1977,14.2
1978,14.11
1979,14.23
1980,14.26
1981,14.3
1982,14.18
1983,14.34
1984,14.15
1985,14.13
1986,14.23
1987,14.37
1988,14.37
1989,14.29
1990,14.43
1991,14.4
1992,14.25
1993,14.28
1994,14.34
1995,14.45
1996,14.32
1997,14.51
1998,14.63
1999,14.44
2000,14.43
2001,14.55
2002,14.6
2003,14.61
2004,14.58
2005,14.66
2006,14.62
2007,14.61
2008,14.54
2009,14.64
2010,14.7
2011,14.58
2012,14.63
2013,14.67
2014,14.75
2015,14.91
2016,14.95
2017,14.87
2018,14.79
2019,14.91
2020,14.98
2021,14.84
2022,14.86
2023,15.08
2024,15.1
