Date,Time (LST/LDT),Wind Speed (kn),Wind Dir (deg),Wind Gust (kn),Wind Speed (mph),Pressure (mb),
09/28/2022,12:00:00 AM,9.72,55,21.19,,1006,
09/28/2022,12:06:00 AM,10.89,61,19.63,,1005.8,
09/28/2022,12:12:00 AM,11.47,57,18.66,,1005.9,
09/28/2022,12:18:00 AM,7.58,72,19.63,,1006.2,
09/28/2022,12:24:00 AM,11.08,51,16.13,,1006.2,
09/28/2022,12:30:00 AM,9.33,53,16.91,,1006.1,
09/28/2022,12:36:00 AM,9.91,63,16.91,,1005.9,
09/28/2022,12:42:00 AM,10.11,57,15.55,,1005.7,
09/28/2022,12:48:00 AM,14.97,56,22.94,,1005.4,
09/28/2022,12:54:00 AM,11.47,59,20.6,,1005.1,
09/28/2022,01:00:00 AM,11.47,55,19.05,,1004.9,
09/28/2022,01:06:00 AM,11.66,58,18.86,,1004.9,
09/28/2022,01:12:00 AM,10.89,63,19.63,,1004.7,
09/28/2022,01:18:00 AM,9.33,61,20.8,,1004.3,
09/28/2022,01:24:00 AM,13.61,69,20.6,,1004.4,
09/28/2022,01:30:00 AM,11.86,66,20.6,,1004.2,
09/28/2022,01:36:00 AM,13.02,55,23.33,,1004.2,
09/28/2022,01:42:00 AM,12.25,59,19.63,,1004,
09/28/2022,01:48:00 AM,14.38,62,23.71,,1003.8,
09/28/2022,01:54:00 AM,16.52,55,22.55,,1003.5,
09/28/2022,02:00:00 AM,14.58,64,22.55,,1003.5,
09/28/2022,02:06:00 AM,15.16,60,25.85,,1003.3,
09/28/2022,02:12:00 AM,15.36,59,24.3,,1003.2,
09/28/2022,02:18:00 AM,11.47,69,23.91,,1003.1,
09/28/2022,02:24:00 AM,15.16,64,21.97,,1003.2,
09/28/2022,02:30:00 AM,14.97,68,24.88,,1003.3,
09/28/2022,02:36:00 AM,12.44,69,26.82,,1003.3,
09/28/2022,02:42:00 AM,12.25,79,24.1,,1003.3,
09/28/2022,02:48:00 AM,7.97,76,19.83,,1003.2,
09/28/2022,02:54:00 AM,12.25,77,20.22,,1003.2,
09/28/2022,03:00:00 AM,10.11,67,18.08,,1003.1,
09/28/2022,03:06:00 AM,12.44,61,24.88,,1003.2,
09/28/2022,03:12:00 AM,13.41,58,18.86,,1003,
09/28/2022,03:18:00 AM,8.55,85,16.52,,1002.9,
09/28/2022,03:24:00 AM,8.55,67,16.72,,1002.5,
09/28/2022,03:30:00 AM,12.05,60,19.63,,1002.5,
09/28/2022,03:36:00 AM,14.19,63,22.74,,1002.4,
09/28/2022,03:42:00 AM,13.22,54,23.91,,1001.9,
09/28/2022,03:48:00 AM,12.63,53,19.44,,1001.4,
09/28/2022,03:54:00 AM,10.69,56,20.8,,1001.5,
09/28/2022,04:00:00 AM,11.86,68,25.46,,1001.6,
09/28/2022,04:06:00 AM,13.02,57,23.52,,1001.3,
09/28/2022,04:12:00 AM,14.19,55,23.71,,1001.1,
09/28/2022,04:18:00 AM,13.61,57,22.74,,1000.8,
09/28/2022,04:24:00 AM,12.44,56,23.91,,1000.7,
09/28/2022,04:30:00 AM,13.61,65,22.94,,1000.5,
09/28/2022,04:36:00 AM,15.55,61,22.55,,1000.1,
09/28/2022,04:42:00 AM,12.63,56,21.38,,999.6,
09/28/2022,04:48:00 AM,16.52,52,23.13,,999.3,
09/28/2022,04:54:00 AM,13.22,64,29.74,,999.1,
09/28/2022,05:00:00 AM,17.3,53,28.38,,999,
09/28/2022,05:06:00 AM,14.97,56,22.94,,999,
09/28/2022,05:12:00 AM,13.41,65,25.46,,998.7,
09/28/2022,05:18:00 AM,12.44,73,22.94,,998.8,
09/28/2022,05:24:00 AM,13.22,67,31.3,,998.6,
09/28/2022,05:30:00 AM,15.16,77,27.02,,998.4,
09/28/2022,05:36:00 AM,13.41,73,26.63,,998,
09/28/2022,05:42:00 AM,13.02,70,33.24,,997.8,
09/28/2022,05:48:00 AM,18.08,71,31.1,,997.9,
09/28/2022,05:54:00 AM,16.13,76,24.3,,998,
09/28/2022,06:00:00 AM,14.19,75,26.63,,998.1,
09/28/2022,06:06:00 AM,14.77,73,23.33,,997.7,
09/28/2022,06:12:00 AM,15.55,81,26.24,,997.8,
09/28/2022,06:18:00 AM,18.66,68,27.21,,997.5,
09/28/2022,06:24:00 AM,17.49,70,29.35,,997.6,
09/28/2022,06:30:00 AM,18.08,76,29.35,,997.9,
09/28/2022,06:36:00 AM,14.38,75,25.27,,997.5,
09/28/2022,06:42:00 AM,17.3,74,26.63,,997.6,
09/28/2022,06:48:00 AM,11.47,86,20.8,,997.7,
09/28/2022,06:54:00 AM,18.08,77,28.77,,997.5,
09/28/2022,07:00:00 AM,8.55,130,15.94,,998,
09/28/2022,07:06:00 AM,10.69,83,20.6,,997.6,
09/28/2022,07:12:00 AM,18.66,67,25.66,,997.1,
09/28/2022,07:18:00 AM,19.44,73,28.77,,996.8,
09/28/2022,07:24:00 AM,16.91,73,27.8,,997,
09/28/2022,07:30:00 AM,13.02,76,27.99,,996.9,
09/28/2022,07:36:00 AM,15.16,75,32.27,,997,
09/28/2022,07:42:00 AM,15.55,72,24.69,,997,
09/28/2022,07:48:00 AM,16.72,78,27.41,,996.7,
09/28/2022,07:54:00 AM,17.11,73,25.85,,996.2,
09/28/2022,08:00:00 AM,18.08,71,30.13,,995.9,
09/28/2022,08:06:00 AM,15.94,70,26.24,,995.9,
09/28/2022,08:12:00 AM,14.38,80,25.46,,996,
09/28/2022,08:18:00 AM,16.72,71,28.38,,995.7,
09/28/2022,08:24:00 AM,17.11,75,25.85,,995.8,
09/28/2022,08:30:00 AM,17.49,69,27.21,,995.3,
09/28/2022,08:36:00 AM,15.94,72,34.6,,995.2,
09/28/2022,08:42:00 AM,16.13,76,30.32,,995.4,
09/28/2022,08:48:00 AM,15.94,75,30.52,,995.4,
09/28/2022,08:54:00 AM,15.55,74,26.24,,995.2,
09/28/2022,09:00:00 AM,20.6,72,32.27,,995,
09/28/2022,09:06:00 AM,24.3,73,32.66,,994.9,
09/28/2022,09:12:00 AM,19.05,75,29.74,,994.9,
09/28/2022,09:18:00 AM,17.49,73,33.05,,994.4,
09/28/2022,09:24:00 AM,20.99,74,30.91,,994.4,
09/28/2022,09:30:00 AM,13.22,79,25.66,,994.6,
09/28/2022,09:36:00 AM,17.49,83,28.96,,994.9,
09/28/2022,09:42:00 AM,9.33,101,21.77,,995,
09/28/2022,09:48:00 AM,14,92,30.71,,995,
09/28/2022,09:54:00 AM,10.11,80,24.1,,994.8,
09/28/2022,10:00:00 AM,13.8,92,25.46,,994.4,
09/28/2022,10:06:00 AM,14,111,24.1,,994.4,
09/28/2022,10:12:00 AM,13.22,92,24.1,,994.1,
09/28/2022,10:18:00 AM,14.77,81,27.41,,993.9,
09/28/2022,10:24:00 AM,14.38,106,32.27,,993.6,
09/28/2022,10:30:00 AM,10.5,98,26.05,,993.8,
09/28/2022,10:36:00 AM,15.94,96,29.35,,993.3,
09/28/2022,10:42:00 AM,15.16,91,30.71,,993.3,
09/28/2022,10:48:00 AM,14.97,100,27.02,,992.9,
09/28/2022,10:54:00 AM,10.11,97,26.24,,992.5,
09/28/2022,11:00:00 AM,14.38,100,27.21,,992.3,
09/28/2022,11:06:00 AM,17.11,92,29.35,,992.3,
09/28/2022,11:12:00 AM,13.41,101,25.66,,992,
09/28/2022,11:18:00 AM,14.77,98,24.69,,991.5,
09/28/2022,11:24:00 AM,14.77,101,29.55,,991.4,
09/28/2022,11:30:00 AM,16.72,111,28.19,,991.3,
09/28/2022,11:36:00 AM,18.27,106,34.99,,990.9,
09/28/2022,11:42:00 AM,19.05,95,27.8,,990.4,
09/28/2022,11:48:00 AM,16.52,91,25.85,,990.1,
09/28/2022,11:54:00 AM,15.16,109,38.29,,990.1,
09/28/2022,12:00:00 PM,17.69,110,28.77,,989.5,
09/28/2022,12:06:00 PM,18.47,109,33.82,,989.2,
09/28/2022,12:12:00 PM,17.69,114,34.79,,988.4,
09/28/2022,12:18:00 PM,16.91,105,33.05,,987.9,
09/28/2022,12:24:00 PM,18.08,120,36.74,,987.9,
09/28/2022,12:30:00 PM,22.74,122,38.1,,988,
09/28/2022,12:36:00 PM,20.99,122,38.29,,987.5,
09/28/2022,12:42:00 PM,21.38,120,32.27,,987,
09/28/2022,12:48:00 PM,22.94,120,40.63,,986.3,
09/28/2022,12:54:00 PM,26.05,123,39.65,,986,
09/28/2022,01:00:00 PM,22.35,118,59.87,,985.2,
09/28/2022,01:06:00 PM,23.52,112,42.96,,984.1,
09/28/2022,01:12:00 PM,23.71,120,41.21,,984,
09/28/2022,01:18:00 PM,26.05,114,43.54,,982.8,
09/28/2022,01:24:00 PM,29.74,127,49.76,,982.3,
09/28/2022,01:30:00 PM,32.27,126,47.24,,981.9,
09/28/2022,01:36:00 PM,27.41,122,42.76,,981,
09/28/2022,01:42:00 PM,29.16,122,48.79,,980,
09/28/2022,01:48:00 PM,29.16,127,52.87,,979.6,
09/28/2022,01:54:00 PM,29.55,123,51.32,,979.6,
09/28/2022,02:00:00 PM,34.41,128,47.82,,979.4,
09/28/2022,02:06:00 PM,38.88,122,51.71,,977.6,
09/28/2022,02:12:00 PM,33.05,134,53.65,,978.1,
09/28/2022,02:18:00 PM,39.27,130,50.15,,976.6,
09/28/2022,02:24:00 PM,34.6,134,54.62,,976.8,
09/28/2022,02:30:00 PM,31.49,132,60.84,,976.1,
09/28/2022,02:36:00 PM,33.24,134,53.46,,975.1,
09/28/2022,02:42:00 PM,31.68,136,63.37,,973.6,
09/28/2022,02:48:00 PM,33.24,131,51.71,,972.5,
09/28/2022,02:54:00 PM,42.96,135,69.78,,971.4,
09/28/2022,03:00:00 PM,42.57,131,57.34,,969.2,
09/28/2022,03:06:00 PM,35.77,140,59.09,,968.6,
09/28/2022,03:12:00 PM,39.27,144,60.84,,968.5,
09/28/2022,03:18:00 PM,34.99,145,57.54,,968,
09/28/2022,03:24:00 PM,36.35,145,59.29,,967.6,
09/28/2022,03:30:00 PM,42.18,145,57.73,,965.3,
09/28/2022,03:36:00 PM,37.71,146,59.68,,964.9,
09/28/2022,03:42:00 PM,37.71,148,65.12,,962.9,
09/28/2022,03:48:00 PM,41.21,153,68.42,,961.6,
09/28/2022,03:54:00 PM,38.29,159,56.37,,,Missing Pressure Data 
09/28/2022,04:00:00 PM,33.24,159,56.95,,,
09/28/2022,04:06:00 PM,28.57,161,57.34,,,
09/28/2022,04:12:00 PM,25.85,161,47.24,,,
09/28/2022,04:18:00 PM,33.63,163,53.84,,,
09/28/2022,04:24:00 PM,29.74,163,48.01,,,
09/28/2022,04:30:00 PM,26.63,164,48.4,,,
09/28/2022,04:36:00 PM,19.83,179,39.46,,,
09/28/2022,04:42:00 PM,21.77,199,49.76,,,
09/28/2022,04:48:00 PM,20.6,204,38.1,,,
09/28/2022,04:54:00 PM,25.66,212,45.87,,,
09/28/2022,05:00:00 PM,25.08,214,46.65,,,
09/28/2022,05:06:00 PM,24.1,210,40.63,,,
09/28/2022,05:12:00 PM,20.22,228,34.41,,,
09/28/2022,05:18:00 PM,28.57,239,37.32,,,
09/28/2022,05:24:00 PM,33.05,244,50.35,,,
09/28/2022,05:30:00 PM,41.21,250,62.59,,,
09/28/2022,05:36:00 PM,40.82,251,58.7,,,
09/28/2022,05:42:00 PM,41.99,255,61.04,,,
09/28/2022,05:48:00 PM,40.04,252,58.32,,,
09/28/2022,05:54:00 PM,42.57,252,60.06,,,
09/28/2022,06:00:00 PM,44.51,256,56.57,,,
09/28/2022,06:06:00 PM,40.82,261,56.76,,,
09/28/2022,06:12:00 PM,47.24,265,60.84,,,
09/28/2022,06:18:00 PM,44.13,271,64.92,,,
09/28/2022,06:24:00 PM,44.51,272,59.48,,,
09/28/2022,06:30:00 PM,46.65,279,64.54,,,
09/28/2022,06:36:00 PM,44.51,275,59.29,,,
09/28/2022,06:42:00 PM,40.43,277,61.81,,,
09/28/2022,06:48:00 PM,48.6,280,63.17,,,
09/28/2022,06:54:00 PM,39.46,274,60.06,,,
09/28/2022,07:00:00 PM,45.87,272,61.43,,,
09/28/2022,07:06:00 PM,36.93,278,52.68,,,
09/28/2022,07:12:00 PM,40.63,275,60.06,,,
09/28/2022,07:18:00 PM,44.13,276,59.09,,,
09/28/2022,07:24:00 PM,48.4,279,62.98,,,
09/28/2022,07:30:00 PM,46.07,282,63.56,,,
09/28/2022,07:36:00 PM,49.96,282,63.76,,,
09/28/2022,07:42:00 PM,49.57,280,62.59,,,
09/28/2022,07:48:00 PM,43.74,285,60.26,,,
09/28/2022,07:54:00 PM,39.65,285,58.32,,,
09/28/2022,08:00:00 PM,40.82,284,54.43,,,
09/28/2022,08:06:00 PM,40.63,288,60.65,,,
09/28/2022,08:12:00 PM,43.74,296,60.06,,,
09/28/2022,08:18:00 PM,40.04,288,52.87,,,
09/28/2022,08:24:00 PM,35.96,287,58.32,,,
09/28/2022,08:30:00 PM,38.68,288,52.48,,,
09/28/2022,08:36:00 PM,34.02,285,47.24,,,
09/28/2022,08:42:00 PM,35.57,285,48.6,,,
09/28/2022,08:48:00 PM,30.52,280,48.98,,,
09/28/2022,08:54:00 PM,30.32,282,44.9,,,
09/28/2022,09:00:00 PM,33.05,284,46.85,,,
09/28/2022,09:06:00 PM,28.77,286,49.37,,,
09/28/2022,09:12:00 PM,32.66,291,42.57,,,
09/28/2022,09:18:00 PM,30.52,296,45.49,,,
09/28/2022,09:24:00 PM,36.93,297,45.29,,,
